timestamp,src_ip,dst_ip,bytes,sensor_type,port
2025-12-18 17:24:55.738309,192.168.1.24,10.0.0.1,338,humidity,8080
2025-12-19 07:51:55.738662,192.168.1.26,10.0.0.1,231,pesticide,8080
2025-12-19 09:47:55.738715,192.168.1.37,10.0.0.1,492,soil_moisture,8080
2025-12-18 17:46:55.738746,192.168.1.18,10.0.0.1,560,pesticide,443
2025-12-19 13:56:55.738774,192.168.1.19,10.0.0.1,761,temp,443
2025-12-19 11:02:55.738800,192.168.1.24,10.0.0.1,441,soil_moisture,1883
2025-12-19 11:53:55.738828,192.168.1.13,10.0.0.1,727,temp,1883
2025-12-19 13:29:55.738854,192.168.1.27,10.0.0.1,157,temp,1883
2025-12-19 15:00:55.738878,192.168.1.28,10.0.0.1,337,humidity,8080
2025-12-18 16:50:55.738903,192.168.1.23,10.0.0.1,200,temp,443
2025-12-19 06:34:55.738928,192.168.1.34,10.0.0.1,562,soil_moisture,443
2025-12-19 04:57:55.738951,192.168.1.31,10.0.0.1,635,humidity,8080
2025-12-19 07:32:55.738974,192.168.1.40,10.0.0.1,695,soil_moisture,8080
2025-12-19 07:28:55.738999,192.168.1.25,10.0.0.1,252,humidity,443
2025-12-19 12:01:55.739023,192.168.1.26,10.0.0.1,504,soil_moisture,1883
2025-12-19 03:58:55.739047,192.168.1.25,10.0.0.1,686,pesticide,8080
2025-12-18 20:22:55.739070,192.168.1.48,10.0.0.1,392,pesticide,1883
2025-12-19 14:44:55.739097,203.0.113.44,10.0.0.1,9935,humidity,1883
2025-12-19 01:49:55.739122,192.168.1.16,10.0.0.1,232,temp,1883
2025-12-19 02:06:55.739147,192.168.1.14,10.0.0.1,677,temp,8080
2025-12-19 05:57:55.739190,192.168.1.35,10.0.0.1,738,soil_moisture,443
2025-12-18 18:01:55.739213,192.168.1.29,10.0.0.1,527,soil_moisture,8080
2025-12-19 11:56:55.739235,192.168.1.45,10.0.0.1,463,pesticide,8080
2025-12-18 17:45:55.739261,192.168.1.31,10.0.0.1,795,soil_moisture,1883
2025-12-19 02:16:55.739286,192.168.1.11,10.0.0.1,99,pesticide,443
